Epsilon	Average Absolute Error over 500 Samples - Count	Average Relative Error over 500 Samples - Count	Average Absolute Error over 500 Samples - Sum	Average Relative Error over 500 Samples - Sum	Average Absolute Error over 500 Samples - Mean	Average Relative Error over 500 Samples - Mean	Average Absolute Error over 500 Samples - Var	Average Relative Error over 500 Samples - Var
0.2	9.223372036854775e+18	1.4211667237064369e+18	9.223372036854774e+18	3.88352506814938e+17	9.223372036854776e+18	2.520407769228947e+20	9.223372036854776e+18	4.289250617343609e+19
0.36	9.223372036854775e+18	1.4211667237064369e+18	9.223372036854774e+18	3.88352506814938e+17	9.223372036854776e+18	2.520407769228947e+20	9.223372036854776e+18	4.289250617343609e+19
0.4	9.204925292781065e+18	1.418324390259024e+18	9.223372036854774e+18	3.88352506814938e+17	9.223372036854776e+18	2.520407769228947e+20	9.223372036854776e+18	4.289250617343609e+19
0.6	9.223372036854775e+18	1.4211667237064369e+18	9.204925292781065e+18	3.875758018013081e+17	9.223372036854776e+18	2.520407769228947e+20	9.204925292781068e+18	4.280672116108922e+19
0.73	9.168031804633646e+18	1.4126397233641981e+18	9.168031804633647e+18	3.860223917740484e+17	9.223372036854776e+18	2.520407769228947e+20	9.149585060559938e+18	4.25493661240486e+19
0.8	9.05735134019139e+18	1.395585722679721e+18	9.075798084265099e+18	3.8213886670589894e+17	9.223372036854776e+18	2.520407769228947e+20	9.002011107970285e+18	4.186308602527374e+19
1.0	7.932099951695107e+18	1.2222033823875356e+18	8.061227160211076e+18	3.394200909562559e+17	9.204925292781066e+18	2.515366953690489e+20	7.876759719474075e+18	3.6630200272114864e+19
1.2	2.158269056624018e+18	3.325530133473063e+17	2.1029288244029012e+18	8.854437155380638e+16	9.204925292781066e+18	2.515366953690489e+20	1.62331347848671e+18	7.549081086526005e+18
1.4	2.213609288845152e+17	3.410800136895458e+16	3.135946492530772e+17	1.3203985231708512e+16	8.909777387601713e+18	2.4347139050751626e+20	2.582544170321003e+17	1.2009901728569853e+18
1.64	624.8859882129286	96.28443578011228	1.8446744073722516e+16	776705013630421.6	7.157336700599306e+18	1.955836428921663e+20	3.689348814756218e+16	1.715700246944097e+17
1.8	625.1698713517022	96.32817740396028	11753.610581356857	494.8888665834466	2.8592453314249805e+18	7.813264084609735e+19	144300.38560799265	671056.6543112855
2.0	625.0916636080174	96.31612690416293	10723.300037406329	451.50736999605596	7.563165070220916e+17	2.0667343707677364e+19	97752.6768178574	454590.4986946228
3.0	625.0842992378978	96.3149921784126	7722.385765716368	325.15308487226815	2.777166007209169	75.8897153127895	21615.49295920824	100521.00918080985
4.0	624.7693905565459	96.26647003952941	5529.893820854147	232.83763456227985	2.7413025097747417	74.90969805658136	3524.120065650885	16388.620242993744
5.0	625.0370518015923	96.30771214200189	4776.402421735067	201.11168091516072	2.6963152994743558	73.68036334142555	1484.228975775762	6902.280451430626
6.0	625.0212434740446	96.30527634422874	4153.932404077676	174.90241701379688	2.7340507403160608	74.71153391432098	1236.7679553590374	5751.4840503425185
7.0	625.0281819326166	96.3063454441628	3772.2767617792506	158.83270575912636	2.6941159120797438	73.620262186937	1063.9944138250928	4948.015409238216
8.0	625.0160534429677	96.30447664760675	3435.0213425899674	144.63247758273548	2.696466620050269	73.6844983752684	902.0824095496272	4195.057422160527
9.0	624.9700977651443	96.29739564948294	3320.529153456726	139.81175382975687	2.70224779249968	73.84247651925442	831.2141318832494	3865.4905321814854
10.0	625.0195195190455	96.30501071171734	2999.902600069028	126.31168842395905	2.6708953588349984	72.9857300161648	724.2274047497192	3367.95786888717
