noise,sqrt_total_var,variances,mean
[65.43919825485347],5.720104817870625,[32.71959912742673],[75.74924471299094]
[79.30507057572584],6.297025908146076,[39.65253528786292],[75.1994301994302]
[81.23837678043536],6.373318475505338,[40.61918839021768],[75.34426229508196]
[71.99298276391387],5.999707608038657,[35.996491381956936],[75.45695364238411]
[72.91758972994],6.0381118625750885,[36.45879486497],[74.89140271493213]
[77.82559837627782],6.238012438921464,[38.91279918813891],[75.22885572139303]
[64.63084313286618],5.684665475332132,[32.31542156643309],[75.5311203319502]
[85.90378553219486],6.553769355576791,[42.95189276609742],[75.03141361256544]
[60.6243752402922],5.505650517436255,[30.312187620146098],[75.03921568627452]
[78.459785229016],6.263377093430349,[39.229892614508],[75.51282051282051]
