,Sample Size,Variance,Sum of Eigenvalues,Sum of Square Root of Eigenvalues
0,10,"[101.14787996975527, 2132.829979742635, 1483.6721402876092]",4130.7222222222235,81.07031594556545
1,10,"[162.6613061171173, 605.1726733279261, 816.4260205549573]",1760.2888888888886,57.29145244119595
2,10,"[2146.6710578760944, 473.81846181716656, 202.89048030673928]",3137.088888888888,70.22599858454831
3,10,"[181.03220229737795, 965.3640561240275, 549.0237415785949]",1883.7999999999993,55.559303004269175
4,10,"[92.52296623890881, 774.3265265789404, 364.5705071821507]",1368.2444444444443,54.32034555125553
5,10,"[1434.5566899486435, 60.93181844837595, 390.16149160298085]",2095.1666666666665,60.26818555823485
6,10,"[1332.7264049146008, 382.8982163824759, 324.6353787029225]",2266.9555555555553,67.58967470444921
7,10,"[114.8890391092257, 1174.9293181075368, 1054.6016427832367]",2604.911111111111,63.67849599348671
8,10,"[119.06930290567111, 1590.8782990302057, 1885.7923980641249]",3995.266666666665,81.76189086042746
9,10,"[466.8732393476107, 1541.1643849393372, 1450.4423757130503]",3842.7555555555555,79.45321452650457
10,10,"[1123.0929189982437, 153.0174409859797, 184.13964001577634]",1622.5000000000002,55.25170348534316
11,10,"[893.073168469781, 418.1531038213492, 132.78372770886986]",1604.4555555555553,55.119408263895465
12,10,"[573.6234132177543, 1489.6451363315432, 1188.871450450702]",3613.4888888888877,71.78904527052585
13,10,"[1348.5961524142303, 364.2267881509983, 98.90705943477096]",2013.0333333333333,57.637809783261645
14,10,"[1014.640381384748, 338.8323453051321, 249.3672733101202]",1780.9333333333334,52.05346501609506
15,10,"[645.4585051303068, 673.0009102367482, 815.8405846329449]",2371.444444444444,62.55744418590991
16,10,"[1976.054567393147, 250.03881361307882, 180.55661899377438]",2674.055555555555,71.0535059799346
17,10,"[2170.7574055207256, 24.400926016890313, 251.53166846238165]",2718.5444444444443,63.54825021798693
18,10,"[79.89237290107066, 1190.1999995373894, 1275.2476275615404]",2828.1555555555556,68.10193407460906
19,10,"[74.8773106712703, 1242.7158105002761, 1151.626878828454]",2743.5777777777776,67.03862152044839
20,10,"[424.7979402311995, 1143.7145235470193, 1274.8575362217812]",3159.2999999999997,71.993519817941
21,10,"[343.5578514652596, 241.21706314765092, 228.5750853870894]",903.7222222222221,44.4976497744847
22,10,"[2999.7261236736877, 57.72217351864119, 142.12170280767023]",3555.077777777777,72.15896195138494
23,10,"[2048.064529583829, 47.13618276387624, 265.889287652294]",2623.4333333333334,65.34425575143239
24,10,"[54.273813700762744, 609.4006166566456, 619.3755696425922]",1425.611111111111,50.113980671507
25,10,"[3049.27196311213, 128.05770757143895, 255.33032931642884]",3814.0666666666675,73.01751252567443
26,10,"[1365.9727798265153, 828.0405023530673, 644.3567178204165]",3153.744444444444,69.40625920080109
27,10,"[2180.495026552266, 533.1426152942286, 492.652358153506]",3562.5444444444447,78.92683571498227
28,10,"[1416.4021393831028, 882.2524320361229, 594.1554285807744]",3214.233333333333,73.08190967758205
29,10,"[1294.0581967308674, 412.85519487235086, 209.81660839678202]",2129.6999999999994,62.37303974283159
30,10,"[1216.4983929652346, 1410.2063950761965, 1380.3052119585661]",4452.233333333333,81.07610879388655
31,10,"[2581.9285066894568, 41.868472246166604, 416.2030210643783]",3377.7777777777774,73.2407733472932
32,10,"[2353.608885620865, 57.126772443159346, 147.734341935973]",2842.7444444444436,69.86324380296952
33,10,"[1269.666404835371, 2663.366898466603, 2242.886696698027]",6862.13333333333,100.7015292498527
34,10,"[1655.9085805709615, 173.65687095686923, 163.05454847216924]",2214.0222222222214,63.27608762770581
35,10,"[1294.451777946389, 448.18748989795677, 403.9407321556545]",2385.0888888888876,59.26019958425817
36,10,"[2568.1237100669787, 95.46164079345408, 86.7446491395676]",3055.9222222222224,67.99507556827272
37,10,"[3151.1304756847844, 441.73869918480614, 512.5308251304106]",4561.555555555557,81.03473024877364
38,10,"[322.6111469445653, 815.996679724401, 521.7221733310326]",1844.8111111111114,55.473132315266355
39,10,"[2293.3451480291287, 247.6469750311165, 173.94787693975476]",3016.599999999999,74.13833356286764
40,10,"[57.83594359284697, 1163.8859834557838, 689.1280729513691]",2123.1666666666665,60.46155056021704
41,10,"[1935.7957574602456, 153.16922278549123, 100.8950197542645]",2433.177777777777,65.19564760966135
42,10,"[267.47916055860026, 817.1965140977192, 803.49432534368]",2097.9666666666667,64.85199188652817
43,10,"[1355.4908481828493, 69.2549666746307, 218.70418514251975]",1826.0555555555559,62.48540805964946
44,10,"[2250.356883569608, 239.23031439664118, 169.18280203374854]",2954.188888888888,67.97886949031397
45,10,"[2364.4656614976725, 467.2410080700432, 307.6233304322841]",3488.1444444444437,71.14112898381138
46,10,"[976.1337822326368, 1218.623270137695, 855.0529476296672]",3388.677777777778,80.54899827774526
47,10,"[556.8136713314725, 763.6249550386367, 333.33137362989135]",1837.5222222222221,59.7278623636206
48,10,"[824.2709853760614, 609.8146754434413, 703.4543391804975]",2375.0444444444443,63.88656011585679
49,10,"[1675.249746007576, 490.8060232581444, 515.5742307342791]",2979.5888888888876,70.33075305504056
50,100,"[1591.5642592314837, 363.030520382354, 375.90982038616056]",2354.0450505050517,64.85784512124408
51,100,"[81.78679962693727, 1244.417742896643, 1237.7148574764203]",2589.817575757575,67.31016575960768
52,100,"[170.01083098776624, 1555.8258144114066, 1571.8832546008264]",3331.030202020202,75.30479927129856
53,100,"[2577.156509882825, 244.48639553202352, 212.63969458515075]",3064.93191919192,73.2732928969563
54,100,"[824.0806553228441, 1017.6768492028092, 1029.7982954743463]",2900.561414141414,71.29640964400207
55,100,"[190.06217861049925, 1511.6978392258607, 1263.8482821636408]",2995.5639393939396,72.08941591527528
56,100,"[117.5450916935589, 1202.6770792250322, 1020.4897290814093]",2364.3554545454544,66.09265039410359
57,100,"[196.29379018039344, 1767.928437616856, 1681.3511722027504]",3682.3973737373744,79.66239227842763
58,100,"[400.3741540763858, 1148.8291477542707, 1122.5112981693421]",2698.7016161616157,68.50246216093865
59,100,"[2943.438502429158, 82.51080945395404, 99.12128811688659]",3156.636969696971,72.7412283445488
60,100,"[2063.1495541026748, 305.6222740688504, 261.4912718284739]",2656.8314141414135,69.22053589949793
61,100,"[2752.0253985139066, 97.41171095517063, 135.2422905309236]",3014.827676767677,73.0352484703623
62,100,"[3063.4331990941037, 114.35930998925036, 119.4637909166432]",3330.5619191919186,75.76026325128869
63,100,"[289.865690072274, 1531.4584514639917, 1376.4630584637343]",3230.0880808080806,74.77627971139165
64,100,"[565.6357555310152, 1070.5107412572129, 1033.8613032117705]",2696.977575757576,69.97745300896143
65,100,"[2617.6469820502457, 270.53639708144425, 250.53962086830884]",3170.427272727274,73.79165711451267
66,100,"[2573.949161972743, 138.41920756850712, 192.80113045874947]",2934.5146464646473,72.58894027724247
67,100,"[1168.208787686577, 758.8821798050205, 667.3505325084024]",2620.64797979798,69.18641176988609
68,100,"[457.45438042529827, 1278.4486784943483, 1062.7579410803523]",2826.9303030303026,70.55566354731893
69,100,"[484.3435713362747, 1000.1852787046337, 930.4305499590924]",2439.3529292929284,67.08924158298925
70,100,"[1332.5831895169676, 807.1762738064499, 672.1900366765826]",2840.3530303030307,69.08401856885685
71,100,"[1202.7321145746312, 677.4277672107602, 728.9832182146082]",2635.498080808081,68.67249714413282
72,100,"[1869.2925328541555, 323.94197728271615, 300.56238986312815]",2518.986767676767,68.05191626884107
73,100,"[1422.185723413741, 706.2077287720931, 427.6216478141658]",2581.833434343435,68.04573157136765
74,100,"[1191.8076250857478, 955.2968224845794, 903.8313524296735]",3081.753333333331,73.00352894855527
75,100,"[1361.5052262866388, 397.2342143069766, 533.0835594063842]",2314.972727272727,66.43993916817521
76,100,"[838.2573573164389, 609.2101669147003, 477.165675768861]",1944.0739393939393,60.549141667545044
77,100,"[87.43025039274997, 1009.7955339697506, 938.9583156375005]",2056.7516161616163,61.88623467503906
78,100,"[1380.6455488856539, 960.3734309303879, 874.9784201839589]",3248.482222222223,74.68179335421075
79,100,"[2004.814898807501, 81.78246410189985, 98.75853709059852]",2207.4302020202017,64.0363910774242
80,100,"[105.62949218941574, 1254.999150579322, 1211.5656572312628]",2598.176060606061,69.46019194383946
81,100,"[88.37425902155707, 1334.0492444751749, 1398.377896503267]",2849.2943434343442,70.32633980944708
82,100,"[516.7486888604518, 788.6762473205596, 1034.6934638189878]",2363.7559595959597,66.6876892716245
83,100,"[147.76962257535163, 1348.532898096795, 1144.568179327853]",2667.5461616161615,71.34056032211454
84,100,"[2062.6686796694407, 572.2959862533455, 510.51833407721494]",3177.255555555556,74.47908396672315
85,100,"[137.29639368324683, 1126.5959885137115, 949.9182178030433]",2236.172323232322,63.92709440841445
86,100,"[285.0083711737315, 1043.8226055201444, 1145.7758233061236]",2499.6028282828297,68.07163045240856
87,100,"[1203.497323869361, 879.6379909740303, 669.1281851566087]",2780.0641414141423,70.39477660552824
88,100,"[1937.3893864941886, 299.2811353124989, 343.0773781933132]",2605.8059595959603,67.09900378998825
89,100,"[2387.757508991415, 264.91334866366185, 245.04214234492346]",2926.9828282828275,72.00663014898507
90,100,"[3164.5680204677483, 77.20296656178891, 122.64381297046039]",3398.398787878789,76.34395065288662
91,100,"[911.3151619126957, 989.5804630318524, 818.1545750554535]",2746.515353535355,69.88167831411509
92,100,"[2081.6648611630735, 315.6812063492598, 305.82903248766706]",2730.4798989899,69.0822490805491
93,100,"[1907.5617029613634, 190.57424842744595, 161.1278486111929]",2282.0846464646465,64.96060891629084
94,100,"[488.6382054454757, 871.7017172676601, 794.7818772868645]",2176.890707070707,64.67326321373793
95,100,"[1718.646941618729, 363.2346455733039, 503.11511280796776]",2611.107777777778,69.60182728974534
96,100,"[642.59044474623, 931.9750069604255, 782.6825482933458]",2381.0585858585864,66.36252830858797
97,100,"[814.6430285537804, 1051.7505621990038, 691.9785092472172]",2584.214242424243,69.63885858335374
98,100,"[2733.694839854961, 200.47070857345935, 185.451551571578]",3151.128383838385,72.83790557334734
99,100,"[192.14027784031555, 1307.9248193793978, 1044.3085027802867]",2570.0743434343435,68.543344515569
100,1000,"[1475.5415500656497, 599.5228267930396, 573.2919411413106]",2651.007325325326,69.03468590518052
101,1000,"[539.5467807804104, 1039.9912506756134, 1064.1408385439768]",2646.3251951951947,68.67451599514635
102,1000,"[2205.362257464029, 328.13450079750874, 296.0927607384617]",2832.4219409409407,70.73652054966632
103,1000,"[108.65078585901658, 1337.8251548805795, 1299.8934612604048]",2749.118520520521,69.92893954872785
104,1000,"[2039.213225128508, 373.54803804807665, 376.05094282341355]",2791.60380980981,70.43765890635107
105,1000,"[2319.8993747459044, 137.91874170408983, 138.5455785500044]",2598.962657657658,68.74393001400661
106,1000,"[111.47435714823875, 1319.6895823744578, 1275.309359477303]",2709.1824814814813,69.26812108923089
107,1000,"[686.9701297623117, 1008.6192673021322, 1018.5244719355562]",2716.8306996996985,69.44255327779885
108,1000,"[328.29751433036006, 1187.8198007914946, 1188.5134238781468]",2707.3380770770773,69.57869649697354
109,1000,"[1826.8345060335403, 357.2225181009538, 348.9936848655065]",2535.586295295295,67.5404659636659
110,1000,"[2521.431253853571, 102.61422714649049, 98.43089799993732]",2725.201580580581,69.73485920964104
111,1000,"[1173.0072050675476, 800.5299830279408, 749.4756819045122]",2725.738608608609,69.55707971448824
112,1000,"[1554.1039602711662, 575.1341586862263, 597.0127080426067]",2728.979806806807,69.65607424797162
113,1000,"[316.80311324389936, 1136.7119050790798, 1096.680820677021]",2552.7485875875873,67.61660196779658
114,1000,"[1617.3936200047992, 552.6120510870226, 517.0818649081787]",2689.7773133133132,69.2484149294813
115,1000,"[1738.2583858934477, 358.0736764341495, 337.56849667240203]",2436.3368958958954,66.42230353991366
116,1000,"[1027.7235990003214, 805.3087192244645, 793.5563367752137]",2629.2178728728727,68.8856037541815
117,1000,"[396.012468680791, 1111.626482346823, 1105.2483749723872]",2615.502828828828,68.36857074044221
118,1000,"[2175.3907106390484, 152.3990934143042, 153.68464194664702]",2483.958404404404,67.02713506247919
119,1000,"[2255.849832696666, 103.27605010868525, 97.92270419464892]",2459.508095095096,66.48325415706404
120,1000,"[2241.6175560770353, 225.06369654558108, 225.87244537738337]",2695.2489469469465,69.42968456838739
121,1000,"[971.8913674066307, 757.6157364984374, 751.2037900949316]",2483.1940880880875,67.22457975863712
122,1000,"[1962.7009329553719, 290.0859180385801, 288.00113900604777]",2543.3313213213205,67.68029637247555
123,1000,"[2246.7809726532796, 158.4440927741193, 145.8339255726025]",2553.612603603603,67.79430942352462
124,1000,"[2450.272043192792, 134.93724303330333, 121.26874077390457]",2709.187214214214,69.2952817044848
125,1000,"[211.52401822160869, 1261.0713373836065, 1234.2619033947853]",2709.566825825826,69.12510017395273
126,1000,"[957.9218891415787, 883.3608969506648, 879.6496119077572]",2723.656054054053,69.81243318953857
127,1000,"[2259.2023780653644, 103.84063764563953, 104.19815128899592]",2469.7108778778775,67.0576765084291
128,1000,"[2264.0819320133223, 225.8082707353359, 216.98713925134152]",2709.5869289289285,69.42585076804187
129,1000,"[1174.287935537026, 790.3647862513079, 754.9540602116649]",2722.3291111111103,69.40898128055072
130,1000,"[238.26606651792898, 1183.7280999720465, 1164.0753795100254]",2588.6582042042037,68.32379864494482
131,1000,"[2289.6372340600597, 193.65968558232615, 193.47705935761414]",2679.4534324324336,69.0808109475287
132,1000,"[1526.7142013303808, 614.7218115349559, 624.2758481346627]",2768.4803413413415,70.6647819017588
133,1000,"[2044.7772413153502, 393.26678139117524, 375.9107562934735]",2816.7715505505503,70.01463068468001
134,1000,"[637.5740147697229, 1079.325459651434, 1046.1086495788431]",2765.7738978978973,70.02327918782983
135,1000,"[857.4759901948963, 784.4113799150476, 754.6317168900559]",2398.918005005004,66.11145437063988
136,1000,"[1126.7343525683004, 777.3831918449504, 769.562354586749]",2676.3562552552553,68.95697746908657
137,1000,"[1927.3754900299753, 350.4946701649092, 351.025790805116]",2631.5274784784783,68.4385298888725
138,1000,"[1946.9681392621449, 395.1679916385274, 440.64834409932837]",2785.570045045045,69.93357317733864
139,1000,"[644.9454179692989, 937.0563756846092, 917.3674173460929]",2501.8710820820806,67.42720408022626
140,1000,"[2241.230220233669, 169.5846258612278, 187.33427590510314]",2600.7498718718716,68.41710492821971
141,1000,"[2075.111767870476, 351.5078751391913, 325.557155990332]",2754.9317307307315,70.34413366233747
142,1000,"[2309.2544472113354, 170.0035724507345, 174.58418033792896]",2656.4986986986983,69.11470698697218
143,1000,"[422.5675026809577, 1033.4759848577776, 1005.2852224612649]",2463.7925025025033,66.58304998895804
144,1000,"[2207.453502621288, 146.36813005910616, 140.6858113196064]",2497.0044484484483,67.12218610783573
145,1000,"[243.52517093170923, 1199.0407134846355, 1175.9271925836551]",2621.1141911911914,68.61070061689016
146,1000,"[737.8706384476395, 914.5369868539781, 873.8886006983819]",2528.8250510510516,67.9886971549316
147,1000,"[132.9361366888166, 1356.1590977966027, 1386.0596595145796]",2878.032926926927,71.32569729005368
148,1000,"[2396.0467166292906, 105.13882036516675, 102.65588100554253]",2606.447865865865,67.98792789677637
149,1000,"[2029.3519081500624, 397.9230863781602, 374.669770471777]",2804.7495145145144,70.56331820524433
150,10000,"[127.78648096008943, 1299.2046245148983, 1306.7706432850123]",2734.035152275227,69.66979881395585
151,10000,"[1675.228623852358, 497.7511290641835, 488.5769411434585]",2661.8228763476354,68.8739349914231
152,10000,"[525.8740705915482, 1067.6918876233221, 1065.13494173513]",2658.9667966296624,68.88740790141054
153,10000,"[122.53399854610602, 1279.6540073993165, 1277.525912274576]",2679.981916411641,69.15445921916387
154,10000,"[1655.1879710989867, 513.1661669331465, 513.7784558278673]",2682.400833943395,69.1459497037045
155,10000,"[503.68309121936943, 1053.800298121167, 1035.7559819194626]",2593.4987211321136,68.3455642433567
156,10000,"[2493.79711252952, 103.76354146965838, 101.56435031082269]",2699.39494380438,69.35449998475879
157,10000,"[1334.8100086155753, 687.0768824352873, 669.7748301391368]",2691.9309142814286,69.36111832217163
158,10000,"[811.4803572790028, 922.8528851180322, 922.0945645529657]",2656.69347629763,68.90732468913046
159,10000,"[740.6288341057059, 933.6420918791764, 915.3401438351184]",2589.8700568256822,68.34175958431165
160,10000,"[1994.5296767817917, 336.7775167981118, 326.98168969009856]",2658.5547387438755,68.87915661282531
161,10000,"[2425.6080973125217, 113.20738633111908, 114.05635174635793]",2653.1371491049117,68.86931641013749
162,10000,"[2206.4361141927734, 251.84596935196706, 251.66843708525937]",2710.2215427842775,69.5410907403415
163,10000,"[1133.596897949953, 754.468781071972, 756.0482936180742]",2644.3784104810484,68.8429603865795
164,10000,"[1379.4943089331866, 650.9123548891854, 642.8223909576287]",2673.4964044204416,68.97962873202147
165,10000,"[1935.3710380144664, 377.69294143450406, 376.4729435610285]",2689.8059036003597,69.47851380701839
166,10000,"[1518.2613955952506, 566.9246377704147, 571.4185328943349]",2656.870253285328,69.1042258426037
167,10000,"[721.8544232062814, 945.8943291287867, 931.1913268249322]",2599.1999991599155,68.44393798218934
168,10000,"[2417.673830375493, 95.0198925828452, 94.7551295016625]",2607.7096234223422,68.39495508318318
169,10000,"[302.555056690861, 1177.008826125565, 1165.5894226135733]",2645.4178472147214,68.79079748625331
170,10000,"[2125.7431825197673, 249.45277817455474, 251.09583567567802]",2626.554451815183,68.5713249659987
171,10000,"[769.0867992732035, 936.8659788557637, 924.6087877310317]",2630.824648324833,68.64819511365944
172,10000,"[98.83505397297034, 1255.0391322219602, 1246.0126059450697]",2600.1468068206827,68.32465951177733
173,10000,"[1976.4161738416024, 361.36195124262525, 347.8718308557717]",2685.91854779478,69.17568124362656
174,10000,"[927.7245565131105, 892.7301209508645, 879.0648799760247]",2699.789536393641,69.46524185793243
175,10000,"[155.96542130063045, 1256.561495363652, 1235.0351970357165]",2647.826896389639,68.79402821257793
176,10000,"[1319.4925201543333, 668.2880065665157, 677.7644746691508]",2665.811582548253,69.04052344755056
177,10000,"[676.9676114390788, 970.4142196977892, 949.1439804431327]",2596.7854901290125,68.29512134335381
178,10000,"[1836.7293411025996, 378.1573547406802, 388.1702501367202]",2603.3172777077707,68.35828268792604
179,10000,"[1658.3872723960776, 498.2710405393634, 496.0691184445575]",2652.992730653066,68.9108498481163
180,10000,"[2439.4316835424934, 104.09930178839636, 105.9130344791112]",2649.7089907090717,68.89317014672145
181,10000,"[1640.1288718002215, 496.1869930365226, 497.14313534325555]",2633.7223724172422,68.84252487282708
182,10000,"[1018.7499413623367, 815.7436315857377, 795.4469226419268]",2630.2035159415946,68.77069399051376
183,10000,"[2035.0112974263027, 297.0112959585827, 296.1006230651154]",2628.3860550555064,68.63925538656555
184,10000,"[2401.8428941511042, 100.02110373656065, 106.33830882233525]",2608.4631530253014,68.46096347935404
185,10000,"[1665.27234135243, 471.527091304773, 469.1970986927968]",2606.2571570657074,68.53882182363466
186,10000,"[777.4357304364106, 928.4820251657576, 917.3060034578308]",2623.486107670766,68.56730820726735
187,10000,"[2423.316859278465, 112.37103702250528, 117.42071310903097]",2653.3739468046806,68.99054383944542
188,10000,"[195.06221838532738, 1219.097947768952, 1209.69672475572]",2624.1193028402836,68.4340260135518
189,10000,"[825.8524436875207, 906.1906449751485, 898.0879438673304]",2630.3940719371944,68.57189662059785
190,10000,"[622.1274853214178, 1039.2223938415218, 1034.401983387061]",2696.02146469647,69.30159189916832
191,10000,"[878.2424492591847, 880.2373829966648, 866.5785114541504]",2625.32087579758,68.59487431408098
192,10000,"[472.48324966701654, 1086.408966957048, 1067.488803645936]",2626.643684638465,68.66335740268502
193,10000,"[440.8132728232109, 1092.3781947010577, 1085.7013773357323]",2619.154760336034,68.56738394637114
194,10000,"[1505.9530220000877, 553.6878087438095, 581.8503111461041]",2641.7553174217433,68.85556935343925
195,10000,"[435.3847027676359, 1137.1053125254334, 1096.6167721869301]",2669.373724852485,69.18370045867837
196,10000,"[1119.2019595966858, 748.66690386174, 746.1287978115747]",2614.2590871787174,68.45285553148483
197,10000,"[734.1289434485244, 959.2550420277659, 960.4924542337106]",2654.1418538953903,68.9588682996891
198,10000,"[460.1443509118981, 1083.1694134826153, 1079.0871850954852]",2622.663215811581,68.58790596093051
199,10000,"[738.5061794213153, 960.962856174475, 949.9328510942111]",2649.6668533753377,68.99798837146832
200,100000,"[873.6641806036015, 882.2080616698142, 876.6364462713826]",2632.53501389494,68.6632491008737
201,100000,"[589.1854394734274, 1035.8889904455746, 1035.4920517103974]",2660.593087560279,69.00534028779379
202,100000,"[158.22902098893258, 1245.3821882317652, 1238.853063476303]",2642.490697603976,68.80862862116419
203,100000,"[639.3114964854083, 1002.7588325336037, 1001.8760263231887]",2643.9727950701504,68.8294873230934
204,100000,"[2449.1792752803935, 94.2029111173556, 92.7108085321532]",2636.1193561234636,68.71345657537488
205,100000,"[1632.7661772552524, 499.5174585416259, 496.557981643322]",2628.8679061192634,68.65695562297155
206,100000,"[102.95959431133684, 1263.7583289642446, 1259.7231207482196]",2626.4673086968846,68.59836480909101
207,100000,"[1472.1901533302664, 592.4383845560251, 592.4693611031086]",2657.124470234103,68.92298720663577
208,100000,"[1532.3051337887402, 554.6677513016982, 553.6943101314604]",2640.693602157921,68.80610542643538
209,100000,"[2241.908995557434, 192.23618935517672, 191.9351780552888]",2626.106624034141,68.6548594359288
210,100000,"[859.9215067522309, 889.0159768508862, 887.5475204731838]",2636.511369189994,68.69785562919915
211,100000,"[2442.1968276256976, 102.50951505935028, 102.37528783395328]",2647.1081016000176,68.78018874903938
212,100000,"[2052.448167222051, 302.12460997456094, 301.8351327592893]",2656.4344743006423,68.93056979869112
213,100000,"[2361.8517445933426, 143.04319059096258, 144.9219957227943]",2649.843429341394,68.88660803648082
214,100000,"[2328.099956006893, 163.24188037714268, 163.21994437306466]",2654.5883266403666,68.95652363983115
215,100000,"[95.47487728426884, 1273.225432936111, 1274.7966044162208]",2643.523349870097,68.79979805364218
216,100000,"[94.6782988075799, 1278.417369238755, 1276.2434995790645]",2649.3656612820114,68.93649705206663
217,100000,"[2263.1372411197945, 197.00349627972565, 195.9636797249798]",2656.1309784342843,68.92100487049385
218,100000,"[92.87075043626677, 1282.044591916507, 1283.4247324410276]",2658.366658460385,68.99941542938792
219,100000,"[2109.0255006275283, 263.2918730275228, 261.4289734902481]",2633.772684872148,68.7368586628875
220,100000,"[308.1361175895056, 1166.1914482036154, 1163.7719472746803]",2638.125894326743,68.76134942878272
221,100000,"[2052.1676841591484, 294.4289291002473, 294.6855260443032]",2641.308552389221,68.7739553374906
